article_id,symbol,company,date_publication,source,api_source,titre,contenu,score_sentiment,sentiment,confiance,poids,score_pondere,url,date_analyse,ajout_date
4006aad2a0e9123f,GOOGL,Google,2026-04-14,24/7 Wall St.,newsapi,Why Demis Hassabis Ignored Elon Musk and Sold DeepMind to Google for $650 Million Instead,"Why Demis Hassabis Ignored Elon Musk and Sold DeepMind to Google for $650 Million Instead. <ul><li>Larry Page convinced Demis Hassabis to sell DeepMind to Google (GOOGL) for $650 million in 2014, betting that the companys compute infrastructure and patience could fund AGI research at the r… [+3876 c...",0.729,positive,0.729,1.58,1.154,https://247wallst.com/investing/2026/04/14/why-demis-hassabis-ignored-elon-musk-and-sold-deepmind-to-google-for-650-million-instead/,2026-04-16 10:26:50,2026-04-16
0785010d515c8381,GOOGL,Google,2026-04-14,Barchart.com,newsapi,Stocks Rally on a Push for Diplomacy to End US-Iran War,"Stocks Rally on a Push for Diplomacy to End US-Iran War. The S&amp;P 500 Index ($SPX) (SPY) on Tuesday closed up +1.18%, the Dow Jones Industrial Average ($DOWI) (DIA) closed up +0.66%, and the Nasdaq 100 Index ($IUXX) (QQQ) closed up +1.81%.  June E-mini … [+7893 chars]",0.869,positive,0.869,1.58,1.376,https://www.barchart.com/story/news/1305540/stocks-rally-on-a-push-for-diplomacy-to-end-us-iran-war,2026-04-16 10:26:50,2026-04-16
a86ca66d0b0d8599,GOOGL,Google,2026-04-13,Barchart.com,newsapi,"KeyBanc Taps INTC, AMD Stocks as Top Buys on CPU Demand. Should You Load Up Now?","KeyBanc Taps INTC, AMD Stocks as Top Buys on CPU Demand. Should You Load Up Now?. This hasnt been a banner year so far for many tech stocks. While theres still a lot of enthusiasm for advancements in artificial intelligence (AI) and the buildout of AI infrastructure, the market ha… [+4522 chars]",0.808,positive,0.808,1.3,1.047,https://www.barchart.com/story/news/1280651/keybanc-taps-intc-amd-stocks-as-top-buys-on-cpu-demand-should-you-load-up-now,2026-04-16 10:26:50,2026-04-16
62c2567c78c9a537,GOOGL,Google,2026-04-14,Benzinga,gnews,What's Going On With Apple Stock Tuesday?,"What's Going On With Apple Stock Tuesday?. Apple Entry to Drive Market Shift
Rivals Face Market Share Pressure
Analyst Sees Strong Early Demand
Mohan added that a staggered release strategy should help smooth the supply chain and production cycles, despite a slight cut to his price target.
Ap... [14...",0.67,positive,0.67,1.08,0.723,https://www.benzinga.com/analyst-stock-ratings/analyst-color/26/04/51797325/apples-foldable-iphone-is-coming-for-everyone-samsung-motorola-google-beware,2026-04-16 10:26:50,2026-04-16
00af0ce61ac4e6dc,GOOGL,Google,2026-04-13,Barchart.com,newsapi,Jassy Is Selling the Amazon AI Story: Should You Buy AMZN Stock Here?,"Jassy Is Selling the Amazon AI Story: Should You Buy AMZN Stock Here?. Amazon (AMZN) released its 2025 annual shareholder letter on April 9. Among other things in the letter, CEO Andy Jassy was unapologetic about Amazon's burgeoning capex, which is set to hit a record h… [+4175 chars]",0.0,neutral,0.878,1.3,0.0,https://www.barchart.com/story/news/1280271/jassy-is-selling-the-amazon-ai-story-should-you-buy-amzn-stock-here,2026-04-16 10:26:50,2026-04-16
bf3a09b73c8e2550,GOOGL,Google,2026-04-14,Investor's Business Daily,gnews,"Dow Jones Futures: Nasdaq Win Streak Hits 10 Days As Nvidia, Google Flash Buy Signals; What To Do Now","Dow Jones Futures: Nasdaq Win Streak Hits 10 Days As Nvidia, Google Flash Buy Signals; What To Do Now. Information in Investor’s Business Daily is for informational and educational purposes only and should not be construed as an offer, recommendation, solicitation, or rating to buy or sell securitie...",0.0,neutral,0.948,1.32,0.0,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-nasdaq-nvidia-win-streaks-asml-bank-of-america/,2026-04-16 10:26:50,2026-04-16
0d342b75787e8f77,GOOGL,Google,2026-04-14,Ibtimes.com.au,newsapi,10 Best AI Stocks to Buy in 2026 as Artificial Intelligence Spending Accelerates,"10 Best AI Stocks to Buy in 2026 as Artificial Intelligence Spending Accelerates. NEW YORK — As artificial intelligence continues to reshape industries from data centers to enterprise software, investors are eyeing a select group of companies poised for strong growth throughout 20… [+7787 chars]",0.763,positive,0.763,1.58,1.208,https://www.ibtimes.com.au/10-best-ai-stocks-buy-2026-artificial-intelligence-spending-accelerates-1866526,2026-04-16 10:26:50,2026-04-16
a105e3bae2d9eee5,GOOGL,Google,2026-04-13,Pypi.org,newsapi,sibyl-research added to PyPI,"sibyl-research added to PyPI. AI-powered deep research agent. Ask any question Sibyl searches the web across multiple sources, reads dozens of pages, cross-references findings, and generates an executive-quality research report w… [+6508 chars]",0.0,neutral,0.938,1.3,0.0,https://pypi.org/project/sibyl-research/,2026-04-16 10:26:50,2026-04-16
74eb273253459e78,GOOGL,Google,2026-04-14,Yahoo Entertainment,newsapi,"Jim Cramer Says “Don’t Mess With Alphabet, They’re Crushing It”","Jim Cramer Says “Don’t Mess With Alphabet, They’re Crushing It”. Alphabet Inc. (NASDAQ:GOOGL) is among Jim Cramers recent stock calls as he urged investors to stand by the defense sector. A club member asked whether their portfolio is diverse enough if their top 5… [+1910 chars]",0.0,neutral,0.881,1.58,0.0,https://finance.yahoo.com/markets/stocks/articles/jim-cramer-says-don-t-181431909.html,2026-04-16 10:26:50,2026-04-16
143e9fa1fe50dc45,GOOGL,Google,2026-04-13,Yahoo Entertainment,newsapi,"As Waymo Launches in Nashville, Should You Buy, Sell, or Hold GOOGL Stock?","As Waymo Launches in Nashville, Should You Buy, Sell, or Hold GOOGL Stock?. If you click 'Accept all', we and our partners, including 251 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",0.0,neutral,0.948,1.08,0.0,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_185943b0-4d30-451d-ac6c-3e1e4db18cab,2026-04-16 10:26:50,2026-04-16
